delegator,voting_power
evmos1jg23v2ahg2h39kcnfklq7dm03324pqls6c2349,723174125977773338396.000000000000000000
evmos1csk2f6q9jnkf7nhvxu5wcxx5hxk25jkz80fg9s,72177879150826919074387.000000000000000000
evmos1g4kd3tjsautjxqmdxpm8k7qsa6vlz37s45nkha,72003497103209850000.000000000000000000
evmos1x4uj2n6cqhgkdd52tpejquzyfqs05jl3k3djm8,696336418490135695756.000000000000000000
evmos15z2wjpsajm2nzxpaaaskttfztc3lfhnj9k95va,65495803854712120000.000000000000000000
evmos1cu3wxg92ctgu8q74zpysxu7prfy8v9hz6gr4uu,62500000000000000000.000000000000000000
evmos1hx5ltn02hhx59lgf54ru6zvdhmf7edv9cmgrnc,535895776714616232345.000000000000000000
evmos1uvqwcanxjwewx5pmeefc0stuh66runypjhtgn6,51441909519205350000.000000000000000000
evmos132q66gglrfkrxtsmvkq3lz3nqf0j3jew0pukwx,51415693780799470000.000000000000000000
evmos10vqp96wnymq6g0ea5wdqy68ql6ggu4wglqwjek,51415693715283610000.000000000000000000
evmos1zruzq2tfdh5c0tk3jm7pgx6tw3wjcqq2ds54l8,4892000000000000000000.000000000000000000
evmos12tlcm9nz7lytt3trv0um5zd0hhme9het6n6fsg,4120996445583593110.000000000000000000
evmos1yntjarsupe5fdc9gpayf6j54hwlpvvnecfjdxz,37345155787687246067.000000000000000000
evmos1dh8mvnu8cv7lqea8dwnyekk8xsuzr0gg9pt3mf,35464157147137768814.000000000000000000
evmos184xfs8lxyj83t4nrtkcpdgyjppy4et4d63rex2,320487797334090309300.000000000000000000
evmos14yvncdn2xw7y02djdq4rmtj5x93ndv5ny4st3s,31773345858479.000000000000000000
evmos17md264nx8c7zkpggfdak2wejymxs8eyrxy9p79,2733013830795546240.000000000000000000
evmos14z2argarp7m0fhvygzycecndndp438a03nxe88,23000000000000000000.000000000000000000
evmos18gcs5ag6uykpzcfs2vllkc7vux83jwanr8gtd7,225000000000000000000.000000000000000000
evmos1a8seen69n8epw370e9qapcxrnat6xm5ykma3x0,15800000000000000000.000000000000000000
evmos1cjwapq94yf4vvexpxgcnsq390valap83ulkuy9,1572701274453335861586.000000000000000000
evmos14w8af3mn770tdl8g0srp9vz88v4yprnsar3m44,15244333958033377725.000000000000000000
evmos1rh0pkndlgnl3k0xs49a6sv9jzytclnftcapc9t,1333615386292472641892.000000000000000000
evmos109s8yvjdaexvxqmdwc7wnnkd5jndgwm2fkhfgx,12790000000000000000.000000000000000000
evmos1xt2md534udj0rypkd2cw9wagzjuvs6yn87uqev,122800000000000000000.000000000000000000
evmos1jwne46ghgrz5ky3phketgjlped0t3l6jp7ryen,11708339778290367610.000000000000000000
evmos10lhfphjjrh0p9pwdtcy9j5ryfrtf7z5vaufv2u,110820000000000000000.000000000000000000
evmos1e6338yq7pctxnq4lae5s68m2m9uups0zhwrd82,102369490480344939.000000000000000000
evmos1g376mzt2kcszpf7y3ee7r8jpseq2zv9haexyfv,1001000000000000000000.000000000000000000
evmos1kfcs4z3q89e3jt4jxmpeepkykcypwytsr0ygf9,1000000000000000000000.000000000000000000
evmos1qz4wy83m38x7dywhtvzs5wdjkp55n447pghsy3,100000000000000000000.000000000000000000
evmos1h4ss9dcnue9u8g7kvymkhaza4zxt74e7zwhw2t,7000000000000000.000000000000000000
evmos1res70qjq47e2acmgfc909n373y3r2my4kgdk3g,24213392774809837.000000000000000000
evmos15dqftefvpnfm3yvqm3lvff3p22glqu4e3a4hvn,2000000000000000000.000000000000000000
evmos1yyqz3t7w8k5qr4upcnmdv9k08vcvsha85a0ssf,2000000000000000.000000000000000000
evmos1lckv25e5h4ghszknsnljlq40fxfad535kcvmre,140000000000000000.000000000000000000
evmos1nk6398kwjz8v639g53zzpql64et68y7agdrq0d,1100000000000000000.000000000000000000
evmos1sh2r0lk8f6vjg35ujxzrt0twe3f04rt8e8ys0k,1000000000000000000.000000000000000000
evmos1zk5rdwqzy5lvs8z76xetx9ktqh5ueh8sa9xr7p,1000000000000000000.000000000000000000
evmos1q8y4m68exj9q2d00gcgmeqgn24w0fsvm4dt59m,1000000000000000000.000000000000000000
evmos17vjt7859nd62eud8dqh9zhffuneqdjafyuke4r,1000000000000000000.000000000000000000
