delegator,voting_power
somm1lt98jyzm8pljh9z29q7l3cv26tm7z4azq6j7kz,138611216.000000000000000000
somm1vunhupqyv25z4av8ndyhnqeakgwggpkchf5ura,125082309.000000000000000000
somm1gqfpw02zv6vpsxvtl9fqcqjw5plv32t4w26lkz,112937127.000000000000000000
somm12n4pgw42qy5lkw4at43eqmjcwr52meq9fcm52t,100000000000.000000000000000000
somm17zefp2q46ats0327lkag4f8ve5zeljecupcshj,10000000.000000000000000000
somm14khvd82d582zhns8nun04p8qje03zj36dccpln,10000000.000000000000000000
somm1qly96sy3yklkwv6cf4he5ves4qu8yn58k5uvru,10000000.000000000000000000
somm16dt6rmwedk6axqm3g6z5ev87ah5alzzt4z7ccy,10000000.000000000000000000
somm10368sv3clgf5t3z2m5mzj8e63e592ctgggg9fy,1000000.000000000000000000
somm1sr0lw3rnl4u3zz7hxrek0pp26hjhapec0fzg4c,1000000.000000000000000000
somm1u5r0j0jytzk2c5z5wswlzy4h385elwwxp4eycq,1000000.000000000000000000
somm17xquhkcu2r99zucp5cvs0a3ewdwa92m8e7wlx9,1000000.000000000000000000
somm1c6k9wzekc3lkn8zqfckjf632ssfyrtandka96s,1000000.000000000000000000
somm1ejqsr74xw6syh9nmukmqqtnnup4znwjmkgrxuq,1000000.000000000000000000
somm1q3dkqv8rcfqxfpt4djz5ejt9aq034e8j4jr02m,1000000.000000000000000000
somm1rsl5pw5rsgjqsu8m9s7tz0lt93azeghpn3nzw8,100000.000000000000000000
somm104x990p8wlt02r8ukflskx0d44fvzppp7p5jzu,1000.000000000000000000
somm1as22d4fv5s25jn3ud0ctu2keksgruhmdpj60vj,99900000000.000000000000000000
somm17dcenffd3kqvh6aaelkjf2zyg7456dcrz5nwr3,9000000.000000000000000000
somm1guyadrx9kwt4dhrn3nrhx0uzf72nv9nz3pc9w3,7500000.000000000000000000
somm12qpgx8l2f7x7pyrtvs8ky2dacefj007cf2ycc7,70000000.000000000000000000
somm149cau2kdqd3vx2p8kqz3wy32wjejxzcx27qqfa,68441915.000000000000000000
somm1kv98xapa28s05x5exhupg3gzlfmkwfl32ye45r,525000000000.000000000000000000
somm1yppjw2thnmrfc7tt0msuw6zcntngcdxd0pndhs,5000000.000000000000000000
