delegator_acc,validator_acc,bonded_token
juno1ddv9r72xctyxz8vkmrk7jk42ra37vzrkxs4mx2,junovaloper1vqun68xz03pj63njyqse09rmzjwkdj84nagera,ujuno
juno1p2ccst445sdduu40a8mne7tednvet5nlvta5t7,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1yg850gkxgzpfu0lnejh72fzhvwqfc2gsr7d5qp,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1pmyalvkpq2c7f42nu3pxfzp4jr2rskyms70wxd,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1f90nyyptfajz58m9sa9dygwajwuxkv835jhdzw,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1zln233z7xnasydvs5gkaehvux9clvq8yhnase8,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1zqg753ll6zf85nzml67ure8zqqkpyvw8z59lnj,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1295xcdqn92pppmx9nz32yfz2wnq847w7cklypq,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno186nc7f5790hy2klqa6e6vy8ts4x52vek4e9jgg,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1gvnk03ngwrjkjtkr0xeextt0alxfqvychaa930,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1qfa6gexefdgk20axj5nulqwmtyzxn6gt3y50k2,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1xm7lau0vas7elyxuyx9e6q4pg0uh3fwyd4qygm,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno19lee089lrxupf9k0jdkzxkx9q648eguq5y42uy,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno186s3ltqtq8mcdgdgyscat3ny9jgpscq9mehks4,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1ydfz3mr0m452ntk4t8cw2myefqm3sf3nekv66t,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1gxnxkt2ncrwlv5eeyxutlfvqgm2y94s89ydnmq,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1y6603qh08ttze6vaqr3ucmclq4xxj88xypjlhf,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1qmym34q2jl3t4zusmkpywcwnrzksph6t98793d,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1z757tc8nn7gdmew7vy6qxgxfk9wwtd4z9d9fzz,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1re7lrayhd7038a2dpfx93syvk3pf678w22u990,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1gykeg20lkk3p9dlz07t8l0hy2agyxzexhn45ff,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1fwww5jarzaf02cghk4m3w7dfu0ae77waad9a9z,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1y6ez4qz7ceu273pmflgmqjr2jfsvzshujdr4g0,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1p2nyqnh48jr28lkxsqhz3mul6e6aye0mlclsl8,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1y260g8wt9ldx6czj5f5mnxzrtvf00p89salgnp,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1ghv0wfy4vvfrlpxljjwz9wqqku2pn8enr262a9,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno12xj2k42lt87ygm3x8wmrtvf349lclfkgj0t40l,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno195hs2ea8wdew0gygllm6wjcmg0qwl68mfassn5,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1q2yv69d5f54z5zzvpy7g6ym2lvtc4pql5hja3u,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1frqct7wjcuyulaq9xmpdehfv7fhy6wa6hsregr,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1ywym5cvtxk5mpdg8f4h3lv0ef6v2qfh55nt2v3,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1pg5e63n0smz24ag65cef9qleksu5r6ejw3n5w0,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1p9fx8ku99nkdlu25r2hptpqmznve90ltxq0xcr,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1gwfy3htyllpux7kt74e8lfnnwymh9x04rsh72q,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1psrppsladrcz99700luxqlhu7un686qshgun57,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
juno1ykkpc0dnetfsya88f5nrdd7p57kplaw8x77pxw,junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,ujuno
